Word,Occurrences
,2
limited,1
wetlands,41
consolidated,12
desirable,1
practicability,4
four,1
facilities,146
lowcost,7
integrity,5
feeding,2
granting,8
eligible,2
electricity,2
presents,2
protections,2
under,141
recycle,2
merchant,3
updated,3
promulgated,1
risk,15
barium,4
regional,20
compacts,3
appropriation,19
govern,1
affect,12
feedstocks,3
school,7
porpoises,1
crops,8
cause,6
companies,3
viable,2
delegate,1
enhance,16
fairfax,2
precursor,2
aeronautics,2
force,1
campeche,1
tunas,1
consistent,7
guidelines,7
direct,38
feasibility,5
mangement,1
likely,14
air,412
established,15
trapping,39
organisms,2
threeyear,1
dioxins,1
panama,1
selected,6
hydrocarbon,1
fossil,2
conduct,24
supplies,9
increasing,9
ever,1
halocarbon,4
agreement,9
noreturn,11
mechanisms,1
residual,4
ionization,12
met,2
deposition,38
protection,390
isotope,6
ethanol,1
turbojet,2
obtained,1
property,33
study,97
economics,23
reports,7
credit,34
smoke,12
permit,65
military,14
adopting,1
suitable,5
changes,7
golden,2
projection,1
owed,2
replace,4
county,31
archaeological,1
total,8
landscape,3
apportionment,1
would,3
army,42
achieve,3
lessening,3
elect,8
foster,4
assessment,12
until,37
populations,2
aware,1
glass,4
connecticut,7
farmland,4
surgeon,1
mirex,3
hold,2
marquette,2
supplemental,8
must,8
wintering,1
permits,34
work,4
gasoline,7
install,7
containment,3
already,1
certify,3
revenues,15
impose,23
pollute,1
give,8
preserving,2
impair,15
selfsufficiency,2
foods,1
urea,2
point,6
altitudes,5
guarantee,7
end,7
recovery,56
carriers,3
provide,880
travel,2
damage,32
ixtoc,1
infringement,1
adjacent,12
significance,1
toxic,61
if,21
beach,27
charging,3
classify,7
commencing,1
oceans,14
beauty,3
inherent,1
sikes,1
after,13
damaged,14
shores,1
nationwide,2
fragile,2
law,24
meaningful,2
types,5
purchase,13
armed,1
bowhead,1
effective,22
homeowners,5
owls,2
maintain,8
expenses,9
africa,1
decreasing,6
operate,2
order,101
wind,8
operations,34
tributyltin,1
office,8
devote,1
consent,22
over,24
prohibition,4
innovative,5
sludge,69
japan,1
members,8
nets,2
baiting,4
sciences,1
tailings,5
personal,3
tilth,2
recreational,8
