Word,Occurrences
limited,4
womans,5
surreptitious,1
threeyear,1
narcotic,100
facilities,54
prefix,1
grandparent,12
magistrate,7
integrity,1
defraud,7
offenses,214
violate,5
granting,7
fouryear,1
disability,20
pensions,30
charles,1
redrawing,2
protections,5
under,383
placed,7
illegally,18
promulgated,2
rescue,91
nonemergency,4
dispense,5
rise,2
sheridan,2
homes,9
georgia,22
every,12
jack,2
nontaxable,2
reforms,16
tickets,11
school,11
molesting,1
obstruction,2
crops,3
cause,7
companies,11
solution,1
admissible,5
convenience,1
unrelated,1
succession,2
enhance,15
fairfax,2
undercover,2
charter,7
force,65
diverting,2
switchblade,9
consistent,5
guidelines,23
mail,11
direct,33
budget,2
nonessential,6
across,1
second,3
street,17
follow,3
kidnap,1
machines,2
even,1
established,18
coordinating,10
spouses,14
minimize,3
prisons,28
religious,6
selected,3
contributed,1
largescale,1
conduct,64
new,110
net,1
increasing,15
officially,2
seeks,1
specialist,1
deemed,7
maintains,1
seminars,1
probationary,4
hempstead,5
whose,30
mailings,5
never,3
remarried,1
met,1
protection,75
governing,5
represented,1
growing,3
pineville,2
obtained,4
substance,52
forum,2
attending,1
employees,98
eligible,20
recordings,1
article,37
controversy,11
credit,37
fulltime,1
smoke,7
permit,137
military,24
suitable,6
changes,25
punishment,25
secure,4
campaign,1
contravention,10
county,15
archaeological,1
cocaine,12
unit,7
derivatives,5
disappearances,5
apportionment,1
would,10
army,3
hospital,1
coins,2
arms,17
distributing,9
foster,45
therefore,6
passport,2
recommend,4
indiana,4
administering,7
assessment,6
until,3
separated,4
females,2
th,1
successful,23
brings,1
award,12
connecticut,5
adult,9
burglaries,6
lawlessly,6
coextensive,1
hold,13
tariff,5
supplemental,3
circumstances,29
divorced,9
rights,161
pursue,1
work,8
gasoline,37
advocacy,2
theories,1
lowenforcement,1
exceptions,1
altering,2
reward,1
revenues,1
defer,1
sulfonylurea,1
unmarked,1
give,8
household,4
organized,11
involve,6
indicates,1
counseling,22
guarantee,7
end,1
recovery,22
carriers,3
provide,1991
handguns,88
sitting,1
damage,32
march,6
glynco,1
adjacent,3
toxic,1
ordinary,3
trustee,1
resignation,3
classify,4
badly,2
regional,2
undergoing,1
arrearages,2
after,19
adoptions,5
customs,21
piercing,9
lay,8
sentencing,93
law,649
extortion,3
types,6
purchase,105
arbitral,2
attempt,20
effective,51
youths,4
headquarters,4
discontinued,3
perform,8
unlawfully,33
expenses,191
ultimate,5
ambulance,18
preventive,2
order,123
joseph,2
operations,19
restriction,8
office,91
enter,11
consent,3
over,34
govern,17
prohibition,22
deducted,13
xi,2
eavesdropping,1
innovative,2
misconduct,7
intoxicated,2
mayor,4
before,69
speedloading,1
jersey,23
personal,59
fix,2
recreational,6
survivors,109
production,35
compensatory,1
discharges,1
counterterrorist,2
emphasize,3
them,10
iowa,4
diseases,1
hardships,2
safe,300
intimidation,4
effects,1
they,15
schools,25
imprisoning,2
comprised,1
bank,3
structural,1
suicide,6
indictment,1
reasonably,4
classified,5
leading,11
cavanaugh,2
eleventh,2
capricious,3
reasonable,93
each,49
disciplining,7
interfering,1
instrumentality,2
consolidate,5
prohibit,276
correctional,71
financial,171
suspended,4
councils,4
venue,17
transient,25
crimes,111
overflow,1
marital,5
indianapolis,1
stealing,3
substantially,11
laboratory,1
mandated,1
saturday,18
prohibitions,6
decree,9
tried,4
waive,3
diesel,37
extinguishment,1
vessels,2
content,1
encourage,40
restraint,12
medicine,4
revolving,4
newly,1
forth,2
independence,4
foundation,1
arizona,2
assaults,40
associate,2
veto,1
twothirds,1
lawless,7
given,1
free,1
appointments,5
disputes,5
grapes,1
enlightened,2
substantiation,1
certified,1
created,1
privacy,22
longterm,2
days,1
presumptive,2
speedy,25
pattern,1
incorporated,3
corrections,27
impede,1
onto,1
inspectors,2
appeals,70
features,2
render,6
racketeer,2
causing,3
primary,1
thereof,3
hearing,16
channels,2
instruct,1
alarm,1
adopted,6
another,20
neighborhood,2
electronic,11
seizures,6
stimulation,3
agriculture,5
solicitations,2
service,176
misusing,1
intelligencerelated,1
xii,5
lawsuits,4
lawrelated,1
indeterminate,1
judgements,5
disqualifications,1
needed,2
rates,8
listed,1
xiv,3
miller,3
influence,7
corpus,34
john,1
damaging,1
urban,30
ceiling,4
murder,18
mechanism,2
occasioned,1
tool,3
convene,10
serve,9
solicitor,1
task,6
western,17
maintaining,1
white,7
toronto,5
feasibility,1
kidnaps,10
target,2
eradicating,3
nations,6
project,4
matter,7
powers,14
acquisition,11
bridge,2
unintended,1
kidnapers,1
respecting,93
mind,2
remarriages,1
regime,6
childcare,3
manner,35
further,15
regulate,29
seek,2
forced,8
responsible,4
mcallen,1
localities,7
reinprovincement,4
subjects,4
forces,53
transmit,10
regulating,3
effectiveness,44
recordkeeping,22
shipments,3
committing,21
shall,211
object,1
sue,2
wells,2
simplify,3
involving,152
reimbursing,1
revising,9
retaining,6
assessed,3
coin,2
explosives,31
reimbursement,25
assisting,14
neighborhoods,2
antitrust,1
medical,70
deliberate,2
flow,3
dog,1
competitors,1
points,1
demoting,7
enterprise,1
mailing,11
sum,4
incorporate,2
amending,11
reorganize,10
jurisdiction,192
teresa,1
parolees,15
nominated,1
ending,9
attempts,2
showing,2
radio,4
judgeship,22
bail,44
availability,21
orleans,2
judges,163
provinced,1
enlarging,4
implementation,13
situations,3
guidance,4
debts,1
minnesota,1
discretionary,5
rico,3
summarizing,4
stabbing,6
adequate,27
wearing,1
do,1
exports,4
toll,1
stop,1
psychiatric,11
coast,4
competitive,5
reversal,4
supplies,2
report,11
suffolk,3
comply,2
chronological,2
bar,8
copkiller,1
countries,16
method,13
illegitimate,1
release,81
automatic,1
transporting,1
erroneous,1
mandatory,158
victim,12
fair,26
disallowing,1
alienations,2
reproductions,2
result,29
fail,1
subject,86
lancaster,2
capacity,6
interdiction,7
patients,1
xvi,9
pressures,2
unable,14
cooperation,9
contraband,4
occupational,1
previous,6
approach,6
slugs,2
furloughs,3
discovery,1
preserve,3
felons,5
terms,19
extend,135
nature,5
felony,190
restricting,14
otherwise,16
cut,2
wear,1
extent,7
pilferages,1
debt,7
improve,183
received,59
protect,82
referral,2
resistant,1
country,33
ill,9
against,202
participating,1
transmission,1
contribution,1
watergaterelated,1
eradicate,2
negotiation,1
obscenity,6
alternate,1
advertisements,2
irresponsible,7
seizure,8
active,1
applicability,4
pregnancy,3
loaded,3
magistrates,25
zones,1
san,1
penalize,89
petty,1
engines,4
basis,34
union,4
condemned,2
claiming,2
patrolling,1
three,14
been,38
subsidy,4
commission,278
permission,1
interest,23
basic,4
privilege,8
entered,3
pro,5
duties,72
